address,planned_area_id
Coerdestraße 58,1
Coerdestraße 51,1
Coerdestraße 60,1
Coerdestraße 55,1
Kanalstraße 62,1
Coerdeplatz 20,1
Coerdeplatz 18,1
Coerdeplatz 12,1
Coerdeplatz 16,1
Coerdeplatz 10,1
Coerdeplatz 1,1
Coerdeplatz 8,1
Coerdeplatz 1a,1
Coerdeplatz 2,1
Kanalstraße 12,1
Kanalstraße 3,1
Kanalstraße 6,1
Zeppelinstraße 4,1
Zeppelinstraße 6,1
Zeppelinstraße 7a,1
Zeppelinstraße 9,1
Niedersachsenring 114,1
Friesenring 26,1
Friesenring 28a,1
Friesenring 28,1
Friesenring 40,1
Jahnstraße 1a,1
Stiftsherrenstraße 18,1
Stiftsherrenstraße 23,1
Stiftsherrenstraße 24,1
Stiftsherrenstraße 26,1
Stiftsherrenstraße 8,1
Stiftsherrenstraße 7,1
Stiftsherrenstraße 4,1
Stiftsherrenstraße 3,1
Stiftsherrenstraße 49,1
Stiftsherrenstraße 50,1
Martinistraße 10,1
Stiftsherrenstraße 1,1
Hörsterstraße 51,1
Hörsterstraße 10,1
Hörsterstraße 55,1
Hörsterstraße 9,1
Hörsterstraße 56,1
Hörsterstraße 8,1
Hörsterstraße 57,1
Hörsterstraße 7,1
Hörsterstraße 7a,1
Hörsterstraße 5,1
Bült 21,1
Bült 23,1
Mauritzstraße 2,1
Sonnenstraße 24,1
Sonnenstraße 82,1
Sonnenstraße 18,1
Sonnenstraße 42,1
Sonnenstraße 70,1
Sonnenstraße 72,1
Sonnenstraße 73,1
Sonnenstraße 75,1
Sonnenstraße 27,1
Ferdinand-Freiligrath-Straße 7,1
Friesenring 53,1
Büchnerstraße 1,1
Steinfurter Straße 19,1
Lazarettstraße 15,1
Schulstraße 2,1
Lazarettstraße 9,1
Schulstraße 4,1
Schulstraße 5,1
Schulstraße 7,1
Schulstraße 10,1
Schulstraße 11,1
Schulstraße 13,1
Schulstraße 16,1
Schulstraße 17,1
Kanonierstraße 3,1
Kanonierstraße 5,1
Uppenbergstraße 9,1
Uppenbergstraße 14,1
Uppenbergstraße 16,1
Uppenbergstraße 12,1
Uppenbergstraße 7,1
Uppenbergstraße 8,1
Uppenbergstraße 8b,1
Uppenbergstraße 8a,1
Uppenbergstraße 6,1
Marientalstraße 30,1
Marientalstraße 32,1
Uppenbergstraße 20,1
Hedwigstraße 21,1
Wüllnerstraße 1,1
Wüllnerstraße 2,1
Raesfeldstraße 49,1
Wüllnerstraße 3,1
Wüllnerstraße 5,1
Wüllnerstraße 4,1
Wüllnerstraße 12,1
Wüllnerstraße 15,1
Wüllnerstraße 17,1
Wüllnerstraße 24,1
Marientalstraße 27,1
Stierlinstraße 2,1
Stierlinstraße 4,1
Stierlinstraße 5,1
Stierlinstraße 10,1
Heinrich-Hemsath-Weg 4,1
Heinrich-Hemsath-Weg 2,1
Stierlinstraße 14,1
Wüllnerstraße 9,1
Studtstraße 8,1
Studtstraße 15,1
Studtstraße 17,1
Studtstraße 18,1
Studtstraße 21,1
Studtstraße 20,1
Studtstraße 31,1
Studtstraße 32,1
Studtstraße 34,1
Studtstraße 41,1
Finkenstraße 16,1
Finkenstraße 20,1
Finkenstraße 24,1
Studtstraße 45,1
Finkenstraße 18,1
Gertrudenstraße 19,1
Studtstraße 54,1
Gertrudenstraße 18,1
Gertrudenstraße 20,1
Gertrudenstraße 21,1
Gertrudenstraße 26,1
Studtstraße 63,1
Kampstraße 15,1
Kampstraße 22,1
Kampstraße 26,1
Hoyastraße 18,1
Hoyastraße 20,1
Hoyastraße 21,1
Hoyastraße 17,1
Dettenstraße 4,1
Dettenstraße 5,1
Dettenstraße 1,1
Hoyastraße 15,1
Hoyastraße 13,1
Hoyastraße 7,1
Hoyastraße 6,1
Kampstraße 11,1
Kampstraße 12,1
Dürerstraße 20a,1
Dürerstraße 22,1
Dürerstraße 24,1
Dürerstraße 25,1
Dürerstraße 27,1
Dürerstraße 29,1
Dürerstraße 34a,1
Kettelerstraße 53,1
Wermelingstraße 56,1
Kettelerstraße 52,1
Kettelerstraße 54,1
Kettelerstraße 55,1
Kettelerstraße 58,1
Kettelerstraße 63,1
Kettelerstraße 62,1
Kettelerstraße 64,1
Kettelerstraße 66,1
Kettelerstraße 70,1
Kettelerstraße 72,1
Kettelerstraße 81,1
Kanalstraße 51,1
Marientalstraße 48,1
Marientalstraße 59,1
Marientalstraße 61,1
Marientalstraße 63,1
Marientalstraße 67,1
Marientalstraße 69,1
Friesenring 8,1
Friesenring 10,1
Cheruskerring 8,1
Cheruskerring 26,1
Cheruskerring 30,1
Cheruskerring 32,1
Cheruskerring 34,1
Friesenring 34,1
Friesenring 48,1
Friesenring 50,1
Friesenring 54,1
Friesenring 56,1
Friesenring 58,1
Friesenring 62,1
Friesenring 72,1
Friesenring 78,1
Friesenring 80,1
Wienburgstraße 29,1
Münzstraße 33,1
Münzstraße 36,1
Tibusstraße 1,1
Tibusstraße 1a,1
Bergstraße 57,1
Bergstraße 49,1
Bergstraße 50,1
Bergstraße 40,1
Bergstraße 48,1
Mauritzstraße 27,1
Finkenstraße 64,1
Finkenstraße 68,1
Finkenstraße 58,1
Finkenstraße 63,1
Finkenstraße 78,1
Finkenstraße 84,1
Finkenstraße 67,1
Finkenstraße 60,1
Finkenstraße 62a,1
Finkenstraße 80,1
Finkenstraße 82,1
Finkenstraße 62,1
Martin-Luther-Straße 16,1
Görresstraße 21,1
Görresstraße 15,1
Görresstraße 22,1
Görresstraße 25,1
Görresstraße 27,1
Friesenring 52,1
Finkenstraße 90,1
Melchersstraße 16,1
Wichernstraße 2,1
Cheruskerring 65,1
Cheruskerring 73,1
Cheruskerring 42,1
Wichernstraße 48,1
Cheruskerring 50,1
Cheruskerring 52,1
Cheruskerring 54,1
Cheruskerring 58,1
Cheruskerring 60,1
Langemarckstraße 17,1
Wienburgstraße 19,1
Kleine Wienburgstraße 4,1
Kleine Wienburgstraße 6,1
Friesenring 68,1
Kleine Wienburgstraße 5,1
Friesenring 64,1
Friesenring 59,1
Gartenstraße 57,1
Gartenstraße 56,1
Gartenstraße 58,1
Cheruskerring 81,1
Cheruskerring 83,1
Flandernstraße 21,1
Cheruskerring 91,1
Friesenring 43,1
Friesenring 20,1
Friesenring 15,1
Friesenring 13,1
Kinderhauser Straße 58,1
Martin-Luther-Straße 3,1
Martin-Luther-Straße 8a,1
Martin-Luther-Straße 7,1
Martin-Luther-Straße 11,1
Martin-Luther-Straße 15,1
Martin-Luther-Straße 17,1
Martin-Luther-Straße 18,1
Martin-Luther-Straße 30,1
Kerßenbrockstraße 33,1
Wichernstraße 37,1
Kerßenbrockstraße 29,1
Kerßenbrockstraße 31,1
Kerßenbrockstraße 17,1
Kerßenbrockstraße 28,1
Tannenbergstraße 19,1
Kerßenbrockstraße 15,1
Kerßenbrockstraße 16,1
Kerßenbrockstraße 3,1
Kerßenbrockstraße 8,1
Kettelerstraße 51,1
Friesenring 31,1
Mauritzstraße 29,1
Lublinring 4,1
Lublinring 8,1
Maximilianstraße 20,1
Maximilianstraße 15,1
Maximilianstraße 24,1
Maximilianstraße 26,1
Kanalstraße 32,1
Rjasanstraße 23,1
Rjasanstraße 21,1
Rjasanstraße 13,1
Rjasanstraße 3,1
Rjasanstraße 7,1
Rjasanstraße 11,1
Maximilianstraße 4,1
Maximilianstraße 3,1
Maximilianstraße 5,1
Maximilianstraße 6,1
Maximilianstraße 7b,1
Wienburgstraße 2,1
Wienburgstraße 20,1
Wichernstraße 35,1
Wichernstraße 19,1
Wichernstraße 33,1
Wichernstraße 29,1
Wichernstraße 31,1
Wichernstraße 25,1
Wichernstraße 27,1
Wichernstraße 23,1
Tannenbergstraße 22,1
Tannenbergstraße 23,1
Tannenbergstraße 28,1
Wermelingstraße 14,1
Wermelingstraße 12,1
Wermelingstraße 13,1
Wermelingstraße 3,1
Wermelingstraße 6,1
Nordstraße 35,1
Nordstraße 37,1
Raesfeldstraße 18,1
Raesfeldstraße 14,1
Dettenstraße 8,1
Raesfeldstraße 4,1
Raesfeldstraße 6,1
Sonnenstraße 43,1
Sonnenstraße 50,1
Sonnenstraße 60,1
Sonnenstraße 64,1
Hörsterstraße 29,1
Hörsterstraße 33,1
Hörsterstraße 34,1
Lotharingerstraße 4,1
Hörsterstraße 21,1
Hörsterstraße 22,1
Hörsterstraße 26,1
Hörsterstraße 39,1
Hörsterstraße 38,1
Hörsterstraße 37,1
Hörsterstraße 35,1
Steingasse 1,1
Sonnenstraße 55,1
Kettelerstraße 24,1
Zuhornstraße 26,1
Zuhornstraße 23,1
Zuhornstraße 21,1
Zuhornstraße 24,1
Zuhornstraße 12,1
Zuhornstraße 14,1
Maximilianstraße 59,1
Zuhornstraße 4,1
Zuhornstraße 13,1
Melchersstraße 85,1
Kanonierstraße 4,1
Maximilianstraße 45,1
Maximilianstraße 50,1
Maximilianstraße 52,1
Maximilianstraße 56,1
Maximilianstraße 58,1
Kettelerstraße 27,1
Tannenbergstraße 1,1
Tannenbergstraße 13,1
Finkenstraße 1,1
Lotharingerstraße 27,1
Lotharingerstraße 28,1
Lotharingerstraße 25,1
Lotharingerstraße 23,1
Lotharingerstraße 17,1
Kettelerstraße 50,1
Kettelerstraße 40,1
Kettelerstraße 41,1
Kettelerstraße 36,1
Kettelerstraße 39,1
Kettelerstraße 30,1
Kettelerstraße 31,1
Kettelerstraße 3,1
Kettelerstraße 10,1
Kettelerstraße 11,1
Kettelerstraße 22,1
Niedersachsenring 112,1
Heerdestraße 37,1
Ulrichstraße 3,1
Ulrichstraße 8,1
Ulrichstraße 14,1
Kettelerstraße 34,1
Hedwigstraße 2,1
Marientalstraße 1,1
Hedwigstraße 3,1
Marientalstraße 3,1
Marientalstraße 11,1
